distri	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nprocessos	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	nomprovincia	nomdistribuidora	casos	bool
2273	R1-299	04	2.0A	C3	5	2	2	0	0	1.0	0.0	0.0	Almería	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44170,44970	True
2273	R1-299	07	2.0A	C3	5	34	34	0	0	16.0	0.0	0.0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44496,44497,44498,44509,44534,44541,44581,44583,44625,44692,44932,44953,44980,45003,45066,45067,45084,45119,45120,45360,45370,45386,45406,45413,45460,45475,45476,45482,45521,45942,46011,46028,46054,46110	True
2273	R1-299	07	2.0DHA	C3	5	4	4	0	0	4.0	0.0	0.0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44355,44579,44660,46083	True
2273	R1-299	07	2.1A	C3	5	1	1	0	0	0.0	0.0	0.0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45417	True
2273	R1-299	07	3.0A	C3	4	2	2	0	0	5.0	0.0	0.0	Balears, Illes	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44700,45447	True
2273	R1-299	08	2.0A	C3	5	284	283	1	0	63.0	7.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44181,44276,44327,44353,44358,44462,44467,44480,44489,44490,44492,44493,44494,44500,44501,44502,44507,44510,44514,44515,44520,44526,44529,44535,44537,44539,44542,44543,44544,44545,44549,44550,44551,44552,44554,44555,44558,44562,44563,44569,44570,44573,44576,44578,44580,44582,44585,44586,44589,44590,44591,44595,44596,44600,44604,44605,44607,44610,44612,44615,44616,44617,44623,44624,44627,44632,44635,44639,44640,44641,44645,44647,44649,44656,44659,44664,44666,44668,44671,44675,44677,44680,44684,44685,44686,44688,44690,44695,44699,44721,44743,44922,44926,44927,44930,44933,44934,44936,44939,44940,44944,44949,44951,44952,44954,44967,44971,44978,44981,44982,44983,44984,44989,44990,44992,44999,45000,45001,45009,45010,45017,45018,45029,45037,45040,45043,45044,45053,45056,45057,45062,45072,45073,45079,45080,45081,45085,45108,45136,45348,45350,45351,45353,45354,45358,45362,45364,45366,45368,45375,45377,45379,45380,45383,45385,45387,45388,45392,45393,45394,45395,45396,45400,45403,45404,45407,45408,45410,45412,45416,45418,45420,45421,45423,45425,45427,45429,45431,45432,45433,45437,45438,45442,45444,45445,45449,45450,45454,45456,45457,45463,45464,45468,45471,45474,45478,45483,45485,45490,45492,45493,45494,45495,45497,45498,45500,45502,45503,45504,45524,45908,45909,45911,45913,45920,45929,45932,45934,45936,45938,45940,45946,45948,45951,45953,45955,45956,45957,45958,45959,45960,45963,45965,45966,45967,45972,45974,45977,45979,45980,45981,45985,45986,45987,45989,45992,45994,45995,45996,45998,46006,46013,46016,46023,46025,46033,46035,46038,46041,46042,46046,46051,46052,46059,46062,46063,46064,46068,46070,46071,46072,46073,46074,46076,46077,46079,46080,46081,46088,46089,46094,46098,46100,46108	True
2273	R1-299	08	2.0A	C4	5	3	2	1	0	1.0	8.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44488,44717,45591	True
2273	R1-299	08	2.0DHA	C3	5	9	9	0	0	0.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44560,44634,45399,45451,45919,45925,45964,46007,46053	True
2273	R1-299	08	2.0DHA	C4	5	1	1	0	0	0.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45590	True
2273	R1-299	08	2.1A	C3	5	7	7	0	0	3.0	0.0	0.0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	44465,44642,44687,44973,44986,45093,45356	True
