distri	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nprocessos	ontime	late	verylate	nomprovincia	nomdistribuidora	casos	bool
2272	R1-091	17	2.0A	C3	5	1	0	1	0	Girona	ELECTRA AVELLANA, S.L.	45355	True
2273	R1-299	08	2.0A	C3	5	11	10	0	1	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	39699,45550,45926,45952,45986,45994,46049,46073,46143,46151,46318	True
2273	R1-299	08	2.0A	C4	5	2	2	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	46316,46317	True
2273	R1-299	08	2.0DHA	C4	5	1	1	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	46157	True
2273	R1-299	08	3.0A	C3	4	1	1	0	0	Barcelona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45968	True
2273	R1-299	14	2.0A	C3	5	1	1	0	0	Córdoba	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	46047	True
2273	R1-299	25	2.0A	C3	5	2	1	1	0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45121,46050	True
2273	R1-299	25	2.0DHA	C3	5	1	1	0	0	Lleida	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	45973	True
2273	R1-299	43	2.0A	C3	5	1	1	0	0	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	46012	True
2273	R1-299	43	3.0A	C3	4	1	1	0	0	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	46127	True
2280	R1-001	45	2.0A	C3	5	1	0	1	0	Toledo	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	45357	True
2282	R1-014	17	2.0A	C3	5	3	0	0	3	Girona	AGRI ENERGIA ELECTRICA	10464,39494,40455	True
2301	R1-018	08	2.0A	C3	5	3	0	1	2	Barcelona	ESTABANELL Y PAHISA ENERGIA	9973,44182,44969	True
2301	R1-018	08	3.0A	C3	4	1	0	0	1	Barcelona	ESTABANELL Y PAHISA ENERGIA	44622	True
2301	R1-018	17	2.0A	C3	5	1	0	0	1	Girona	ESTABANELL Y PAHISA ENERGIA	42038	True
2316	R1-002	28	2.0A	C3	5	1	0	0	1	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	40979	True
2326	R1-015	17	2.0A	C3	5	4	1	0	3	Girona	BASSOLS ENERGÍA, S.A.	3797,43883,44667,45997	True
2329	R1-016	08	2.0A	C3	5	1	1	0	0	Barcelona	ELECTRA CALDENSE, S.A.	46061	True
2329	R1-016	08	2.0DHA	C3	5	1	0	0	1	Barcelona	ELECTRA CALDENSE, S.A.	44662	True
2401	R1-037	25	2.0A	C3	5	2	0	0	2	Lleida	ELECTRA DEL CARDENER, S.A.	26164,41022	True
2402	R1-062	17	2.0A	C3	5	2	2	0	0	Girona	SUMINISTRO DE LUZ Y FUERZA, S.L.	46147,46326	True
3223	R1-176	17	2.0A	C3	5	1	0	0	1	Girona	ELÉCTRICA DE JAFRE, S.A.	43129	True
3245	R1-019	43	2.0A	C3	5	1	0	0	1	Tarragona	ELECTRICA DEL EBRO, S.A.	25914	True
3245	R1-019	43	2.0DHA	C3	5	1	1	0	0	Tarragona	ELECTRICA DEL EBRO, S.A.	46324	True
3889	R1-254	31	2.0A	C3	5	1	0	0	1	Navarra	ELECTRA SALTEA, S.L.	41887	True
10866	R1-133	19	2.0A	C3	5	2	1	0	1	Guadalajara	HIDROELÉCTRICA EL CARMEN, S.L.	41077,46034	True
10866	R1-133	19	2.0DHA	C3	5	1	0	0	1	Guadalajara	HIDROELÉCTRICA EL CARMEN, S.L.	23421	True
11861	R1-065	25	2.0A	C3	5	2	0	0	2	Lleida	ELECTRICA DE GUIXES, SL	25944,27316	True
11861	R1-065	25	2.1A	C3	5	1	0	0	1	Lleida	ELECTRICA DE GUIXES, SL	42048	True
29047	R1-115	05	2.0A	C3	5	1	0	0	1	Avila	HIDROELÉCTRICA VEGA, S.A.	40887	True
32433	R1-325	25	2.1A	C3	5	1	0	0	1	Lleida	EMPRESA MUNICIPAL DE DISTRIBUCIO D'ENERGIA ELECTRICA D'ALMENAR, S.L.	27966	True
37074	R1-017	12	2.0A	C3	5	1	0	1	0	Castelló	MAESTRAZGO DISTRIBUCIÓN ELÉCTRICA, SLU	45448	True
38200	R1-105	06	2.0DHA	C3	5	1	0	0	1	Badajoz	LA ERNESTINA, S.A.	38167	True
38500	R1-258	46	2.0A	C3	5	1	1	0	0	València	MILLARENSE DE ELECTRICIDAD, S.A.U	46322	True
39245	R1-344	22	2.0A	C3	5	1	0	0	1	Huesca	GESTIÓN DEL SERVICIO ELECTRICO HECHO S.L.	40136	True
39425	R1-220	36	2.0DHA	C3	5	1	0	0	1	Pontevedra	ELÉCTRICA DE CANTOÑA, S.L.	43339	True
39521	R1-047	06	2.0A	C3	5	1	0	0	1	Badajoz	FELIX GONZALEZ, S.A.	40556	True
40338	R1-119	30	2.0A	C3	5	1	0	0	1	Murcia	LEANDRO PEREZ ALFONSO, S.L.	42335	True
41217	R1-146	04	2.0DHA	C3	5	1	0	0	1	Almería	JOSÉ FERRE SEGURA E HIJOS, S.R.L.	43882	True
